date,state,positive,lastUpdateEt,death,dateChecked,totalTestsViral,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease
20200904,NV,70712.0,9/4/2020 02:59,1375.0,2020-09-04T02:59:00Z,875292.0,32,489,3547,12
20200904,NY,437971.0,9/3/2020 23:59,25348.0,2020-09-03T23:59:00Z,,36,864,93395,5
20200904,OH,128444.0,9/4/2020 14:00,4248.0,2020-09-04T14:00:00Z,2342906.0,39,1332,30057,22
20200904,OK,62040.0,9/4/2020 00:00,846.0,2020-09-04T00:00:00Z,926188.0,40,1013,11349,11
20200904,OR,27601.0,9/4/2020 03:01,475.0,2020-09-04T03:01:00Z,,41,265,5804,5
20200904,PA,137662.0,9/4/2020 15:00,7742.0,2020-09-04T15:00:00Z,2352923.0,42,891,12327,10
20200904,PR,34241.0,9/4/2020 00:00,455.0,2020-09-04T00:00:00Z,310546.0,72,43,43,7
20200904,RI,22243.0,9/4/2020 12:00,1055.0,2020-09-04T12:00:00Z,,44,100,9929,0
20200904,SC,123325.0,9/3/2020 23:59,2846.0,2020-09-03T23:59:00Z,980037.0,45,1629,12559,39
20200904,SD,14596.0,9/3/2020 14:00,170.0,2020-09-03T14:00:00Z,201483.0,46,259,1756,1
20200904,TN,160597.0,9/4/2020 15:00,1837.0,2020-09-04T15:00:00Z,2279035.0,47,1051,18231,22
20200904,TX,630829.0,9/4/2020 18:00,13231.0,2020-09-04T18:00:00Z,5119753.0,48,5482,12250,140
20200904,UT,53839.0,9/4/2020 11:00,419.0,2020-09-04T11:00:00Z,845356.0,49,513,6057,5
20200904,VA,124779.0,9/3/2020 17:00,2662.0,2020-09-03T17:00:00Z,,51,1111,15297,10
20200904,VI,1150.0,9/3/2020 21:39,16.0,2020-09-03T21:39:00Z,16971.0,78,6,147,1
20200904,VT,1642.0,9/3/2020 23:39,58.0,2020-09-03T23:39:00Z,,50,5,1317,0
20200904,WA,75856.0,9/3/2020 02:59,1945.0,2020-09-03T02:59:00Z,,53,479,21736,10
20200904,WI,84464.0,9/4/2020 00:00,1161.0,2020-09-04T00:00:00Z,,55,1542,11746,7
20200904,WV,11037.0,9/3/2020 23:59,243.0,2020-09-03T23:59:00Z,448720.0,54,192,3817,6
20200904,WY,3989.0,9/4/2020 17:44,42.0,2020-09-04T17:44:00Z,111391.0,56,50,800,1
20200903,AK,6339.0,9/3/2020 03:59,40.0,2020-09-03T03:59:00Z,377936.0,2,106,1052,1
20200903,AL,129285.0,9/3/2020 11:00,2233.0,2020-09-03T11:00:00Z,955290.0,1,1046,1741,16
20200903,AR,63081.0,9/3/2020 14:40,861.0,2020-09-03T14:40:00Z,737449.0,5,969,969,20
20200903,AS,0.0,8/15/2020 00:00,0.0,2020-08-15T00:00:00Z,1514.0,60,0,0,0
20200903,AZ,203953.0,9/3/2020 00:00,5130.0,2020-09-03T00:00:00Z,1221089.0,4,1092,8932,65
20200903,CA,717177.0,9/3/2020 02:59,13327.0,2020-09-03T02:59:00Z,11663924.0,6,5125,83554,164
20200903,CO,58019.0,9/2/2020 01:59,1853.0,2020-09-02T01:59:00Z,,8,244,6855,0
20200903,CT,53209.0,9/2/2020 20:30,4468.0,2020-09-02T20:30:00Z,1216083.0,9,101,14237,1
20200903,DC,14135.0,9/2/2020 00:00,609.0,2020-09-02T00:00:00Z,,11,58,3962,1
20200903,DE,17653.0,9/2/2020 18:00,606.0,2020-09-02T18:00:00Z,,10,104,4018,0
20200903,FL,637013.0,9/2/2020 23:59,11800.0,2020-09-02T23:59:00Z,6499749.0,12,3571,23894,149
